,Store Hours,Total Breweries
143,"[{""day"":""Tue"",""hour"":""11:00 AM-11:00 PM""},{""day"":""Wed"",""hour"":""11:00 AM-11:00 PM""},{""day"":""Sun"",""hour"":""11:00 AM-11:00 PM""},{""day"":""Fri"",""hour"":""11:00 AM-11:00 PM""},{""day"":""Sat"",""hour"":""11:00 AM-11:00 PM""},{""day"":""Mon"",""hour"":""11:00 AM-11:00 PM""},{""day"":""Thu"",""hour"":""11:00 AM-11:00 PM""}]",2
144,"[{""day"":""Sun"",""hour"":""10:00 AM-09:00 PM""}]",2
145,"[{""day"":""Monday - Sunday"",""hour"":""6:00 am - 12:00 am""}]",2
146,"[{""day"":""Monday - Thursday, Sunday"",""hour"":""11:00 AM - 12:00 AM""},{""day"":""Friday - Saturday"",""hour"":""11:00 AM - 2:00 AM""}]",2
147,"[{""day"":""Saturday"",""hour"":""12:00 pm - 10:00 pm""}]",2
148,"[{""day"":""Monday - Sunday"",""hour"":""11:00 am - 5:00 pm""},{""day"":""Monday - Sunday"",""hour"":""11:00 AM - 5:00 PM""}]",2
149,"[{""day"":""Monday - Sunday"",""hour"":""11:00 AM - 5:00 PM""}]",2
150,"[{""day"":""Monday - Sunday"",""hour"":""10:00 am - 10:00 pm""}]",2
151,"[{""day"":""Fri - Sat"",""hour"":""11:30 am - 10:00 pm""},{""day"":""Sun"",""hour"":""11:30 am - 9:00 pm""},{""day"":""Mon - Thu"",""hour"":""11:30 am - 9:00 pm""}]",2
152,"[{""day"":""Monday - Wednesday, Sunday"",""hour"":""11:00 AM - 12:00 AM""},{""day"":""Thursday - Saturday"",""hour"":""11:00 AM - 1:00 AM""}]",2
153,"[{""day"":""Fri"",""hour"":""9am-5pm""}]",2
154,"[{""day"":""Monday - Thursday"",""hour"":""11:00 AM - 12:00 AM""},{""day"":""Friday"",""hour"":""11:00 AM - 1:00 AM""},{""day"":""Saturday"",""hour"":""10:00 AM - 1:00 AM""},{""day"":""Sunday"",""hour"":""10:00 AM - 12:00 AM""},{""day"":""Sun"",""hour"":""10:00 am - 12:00 am""},{""day"":""Mon - Thu"",""hour"":""11:00 am - 12:00 am""},{""day"":""Fri"",""hour"":""11:00 am - 1:00 am""},{""day"":""Sat"",""hour"":""10:00 am - 1:00 am""},{""day"":""Sun"",""hour"":""10:00 AM - Midnight""},{""day"":""Mon - Thu"",""hour"":""11:00 AM - Midnight""},{""day"":""Fri"",""hour"":""11:00 AM - 1:00 AM""},{""day"":""Sat"",""hour"":""10:00 AM - 1:00 AM""}]",2
155,"[{""day"":""Monday - Friday"",""hour"":""10:00 am - 6:00 pm""},{""day"":""Saturday"",""hour"":""10:00 am - 4:00 pm""}]",2
156,"[{""day"":""Mon - Sun"",""hour"":""9:00 AM - 10:00 PM""},{""day"":""Sun"",""hour"":""9:00 AM - 9:00 PM""},{""day"":""Mon - Sat"",""hour"":""9:00 AM - 10:00 PM""}]",2
157,"[{""day"":""Mon - Fri"",""hour"":""8:00 am - 4:30 pm""}]",2
158,"[{""day"":""Tuesday - Friday"",""hour"":""3:00 pm - 11:00 pm""},{""day"":""Saturday"",""hour"":""5:00 pm - 12:00 am""}]",2
